Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-setosa
2,4.9,3.0,1.4,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
5,5.0,3.6,1.4,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
7,4.6,3.4,1.4,0.3,Iris-setosa
8,5.0,3.4,1.5,0.2,Iris-setosa
9,4.4,2.9,1.4,0.2,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa
11,5.4,3.9,4.5,1.5,Iris-versicolor
12,6.1,3.0,4.6,1.4,Iris-versicolor
13,5.6,2.9,3.6,1.3,Iris-versicolor
14,6.7,3.1,4.4,1.4,Iris-versicolor
15,5.6,3.0,4.5,1.5,Iris-versicolor
16,5.8,2.7,4.1,1.0,Iris-versicolor
17,6.2,2.2,4.5,1.5,Iris-versicolor
18,5.6,2.5,3.9,1.1,Iris-versicolor
19,5.9,3.2,4.8,1.8,Iris-versicolor
20,6.1,2.8,4.0,1.3,Iris-versicolor
21,6.3,3.3,6.0,2.5,Iris-virginica
22,5.8,2.7,5.1,1.9,Iris-virginica
23,7.1,3.0,5.9,2.1,Iris-virginica
24,6.3,2.9,5.6,1.8,Iris-virginica
25,6.5,3.0,5.8,2.2,Iris-virginica
26,7.6,3.0,6.6,2.1,Iris-virginica
27,4.9,2.5,4.5,1.7,Iris-virginica
28,7.3,2.9,6.3,1.8,Iris-virginica
29,6.7,2.5,5.8,1.8,Iris-virginica
30,7.2,3.6,6.1,2.5,Iris-virginica
